customer_id,age,income,occupation,marital_status,children,risk_score,customer_preferences,insurance_type,insurance_premium,policy_recommendation,purchase_probability
26,55,122676,Lawyer,Married,3,0.92,comprehensive coverage,home,1790.73,full coverage,0.85
27,26,107282,Engineer,Single,1,0.43,budget-friendly,vehicle,1715.84,basic coverage,0.23
28,41,79109,Teacher,Divorced,0,0.4,budget-friendly,vehicle,1634.51,basic coverage,0.24
29,66,96143,Lawyer,Single,0,0.2,balanced,vehicle,251.48,standard coverage,0.11
30,22,127978,Doctor,Divorced,3,0.75,balanced,health,2556.92,standard coverage,0.66
31,65,72262,Teacher,Single,2,0.3,comprehensive coverage,vehicle,1634.61,standard coverage,0.26
32,62,97813,Doctor,Divorced,1,0.99,budget-friendly,life,2565.29,standard coverage,0.64
33,30,41625,Engineer,Single,0,0.17,budget-friendly,vehicle,808.2,basic coverage,0.15
34,38,57015,Business,Single,2,0.0,budget-friendly,life,1916.64,basic coverage,0.0
35,26,146037,Freelancer,Married,2,0.54,balanced,vehicle,1344.11,standard coverage,0.32
36,19,34826,Engineer,Married,2,0.07,balanced,vehicle,684.15,standard coverage,0.05
37,65,36124,Business,Divorced,0,0.37,balanced,vehicle,353.04,standard coverage,0.28
38,18,100930,Lawyer,Divorced,1,0.45,budget-friendly,life,1843.83,basic coverage,0.29
39,25,57753,Business,Single,3,0.25,budget-friendly,vehicle,2126.99,basic coverage,0.21
40,41,51931,Lawyer,Married,1,0.98,balanced,life,1078.98,standard coverage,0.9
41,51,61467,Teacher,Divorced,1,0.34,comprehensive coverage,life,1911.52,standard coverage,0.29
42,27,118566,Engineer,Married,2,0.14,balanced,vehicle,236.76,standard coverage,0.14
43,62,73868,Lawyer,Divorced,0,0.04,budget-friendly,vehicle,1321.64,basic coverage,0.03
44,18,130133,Engineer,Married,0,0.31,budget-friendly,vehicle,428.68,basic coverage,0.18
45,52,82139,Engineer,Divorced,1,0.82,budget-friendly,health,3302.14,standard coverage,0.77
46,58,149173,Lawyer,Married,2,0.25,balanced,vehicle,892.88,standard coverage,0.25
47,43,89650,Lawyer,Single,1,0.6,budget-friendly,health,1731.86,basic coverage,0.43
48,21,83215,Business,Divorced,1,0.99,balanced,home,1799.83,standard coverage,0.59
49,48,72479,Teacher,Married,2,0.34,budget-friendly,life,1663.59,basic coverage,0.22
50,22,50047,Teacher,Single,3,0.62,comprehensive coverage,health,1238.45,full coverage,0.45
51,40,148525,Doctor,Divorced,3,0.6,balanced,health,2984.59,standard coverage,0.34
52,51,130768,Business,Married,1,0.59,comprehensive coverage,vehicle,1248.66,standard coverage,0.41
53,32,132143,Business,Divorced,3,0.95,budget-friendly,home,2227.12,standard coverage,0.81
54,20,79729,Engineer,Divorced,3,0.79,budget-friendly,health,1650.56,standard coverage,0.6
55,36,113962,Engineer,Single,2,0.01,budget-friendly,vehicle,621.37,basic coverage,0.01
56,60,49306,Lawyer,Divorced,0,0.03,balanced,life,2042.37,standard coverage,0.02
57,56,111721,Doctor,Married,2,0.04,balanced,vehicle,1470.33,standard coverage,0.04
58,56,139977,Engineer,Divorced,3,0.36,comprehensive coverage,life,1525.81,standard coverage,0.24
59,44,71570,Business,Divorced,0,0.44,budget-friendly,life,1967.96,basic coverage,0.3
60,39,115275,Doctor,Single,1,0.81,comprehensive coverage,home,2022.41,full coverage,0.65
61,66,95706,Business,Single,1,0.64,budget-friendly,health,2560.31,standard coverage,0.55
62,32,111648,Business,Married,1,1.0,budget-friendly,home,1174.75,standard coverage,0.58
63,57,61306,Business,Single,3,0.79,balanced,health,3541.0,standard coverage,0.4
64,59,94109,Teacher,Single,2,0.87,balanced,health,1369.04,standard coverage,0.56
65,32,122887,Business,Married,2,0.18,budget-friendly,vehicle,1085.21,basic coverage,0.12
66,49,71487,Teacher,Divorced,3,0.64,budget-friendly,health,3189.34,standard coverage,0.37
67,48,72072,Engineer,Divorced,0,0.15,budget-friendly,life,759.41,basic coverage,0.13
68,69,92230,Business,Divorced,1,0.67,comprehensive coverage,vehicle,842.35,full coverage,0.55
69,56,93674,Freelancer,Married,2,0.81,comprehensive coverage,life,2399.1,full coverage,0.49
70,34,99990,Lawyer,Married,1,0.3,comprehensive coverage,vehicle,2517.65,standard coverage,0.17
71,69,40530,Freelancer,Married,1,0.17,balanced,vehicle,2324.4,standard coverage,0.13
72,30,39432,Lawyer,Single,3,0.24,budget-friendly,life,780.09,basic coverage,0.22
73,55,33708,Freelancer,Married,1,0.81,comprehensive coverage,health,1347.53,full coverage,0.56
74,54,76248,Teacher,Single,3,0.55,comprehensive coverage,vehicle,2507.22,standard coverage,0.45
75,33,116388,Teacher,Divorced,1,0.54,comprehensive coverage,vehicle,736.44,standard coverage,0.33
76,45,51868,Doctor,Single,0,0.58,balanced,vehicle,1241.63,standard coverage,0.55
77,51,136901,Business,Single,0,0.49,balanced,vehicle,1782.11,standard coverage,0.44
78,49,123769,Business,Single,2,0.86,balanced,health,1182.03,standard coverage,0.79
79,41,41648,Business,Married,3,0.51,comprehensive coverage,vehicle,371.14,standard coverage,0.26
80,54,105769,Business,Married,2,0.6,balanced,health,375.9,standard coverage,0.45
81,22,58517,Doctor,Divorced,2,0.98,balanced,life,3858.32,standard coverage,0.5
82,61,42565,Engineer,Single,0,0.46,budget-friendly,life,1567.56,basic coverage,0.43
83,40,49743,Teacher,Single,1,0.19,comprehensive coverage,vehicle,2320.14,standard coverage,0.11
84,67,137222,Teacher,Single,0,0.56,budget-friendly,vehicle,1376.78,basic coverage,0.48
85,38,45005,Lawyer,Single,2,0.7,balanced,health,2846.15,standard coverage,0.44
86,18,89478,Freelancer,Married,0,0.13,balanced,life,510.4,standard coverage,0.12
87,30,107817,Business,Single,1,0.16,budget-friendly,vehicle,347.35,basic coverage,0.11
88,69,61342,Teacher,Married,3,0.02,balanced,vehicle,848.57,standard coverage,0.01
89,61,30338,Lawyer,Divorced,1,0.74,comprehensive coverage,vehicle,474.34,full coverage,0.39
90,25,91894,Doctor,Divorced,1,0.2,comprehensive coverage,life,1290.92,standard coverage,0.19
91,18,40650,Lawyer,Married,3,0.9,balanced,health,2564.98,standard coverage,0.85
92,32,39113,Freelancer,Married,3,0.52,comprehensive coverage,health,625.71,standard coverage,0.45
93,27,107969,Business,Single,1,0.96,comprehensive coverage,home,1883.98,full coverage,0.95
94,18,34187,Lawyer,Single,0,0.38,balanced,life,2539.15,standard coverage,0.36
95,31,40058,Business,Single,1,0.96,balanced,home,2388.05,standard coverage,0.82
96,62,53489,Doctor,Single,3,0.98,comprehensive coverage,life,2160.3,full coverage,0.5
97,69,35712,Doctor,Divorced,1,0.13,balanced,life,1536.39,standard coverage,0.08
98,59,85996,Doctor,Single,3,0.12,budget-friendly,vehicle,2011.39,basic coverage,0.07
99,54,112605,Freelancer,Single,3,0.42,balanced,life,2340.24,standard coverage,0.27
100,58,138060,Lawyer,Married,1,0.41,balanced,vehicle,925.98,standard coverage,0.26
101,63,126927,Business,Divorced,3,0.65,budget-friendly,health,430.27,standard coverage,0.39
102,38,132129,Teacher,Married,3,0.11,balanced,vehicle,814.26,standard coverage,0.08
103,18,131006,Business,Single,2,0.76,comprehensive coverage,health,3206.1,full coverage,0.75
104,64,99307,Lawyer,Divorced,2,0.22,comprehensive coverage,life,1211.97,standard coverage,0.12
105,44,130561,Doctor,Single,0,0.15,comprehensive coverage,life,1781.49,standard coverage,0.09
106,68,119243,Engineer,Single,1,0.79,balanced,vehicle,2853.97,standard coverage,0.54
107,69,62154,Teacher,Divorced,2,0.08,comprehensive coverage,vehicle,1417.21,standard coverage,0.06
108,48,101848,Business,Married,2,0.71,balanced,health,918.84,standard coverage,0.4
109,24,78754,Freelancer,Married,2,0.11,comprehensive coverage,life,1257.99,standard coverage,0.09
110,35,146526,Business,Single,1,0.74,comprehensive coverage,health,1825.48,full coverage,0.42
111,53,61008,Engineer,Married,3,0.79,comprehensive coverage,health,2419.83,full coverage,0.48
112,41,137819,Freelancer,Divorced,3,0.58,budget-friendly,vehicle,2697.04,basic coverage,0.3
113,55,45921,Doctor,Married,3,0.35,balanced,life,349.43,standard coverage,0.34
114,52,142905,Engineer,Divorced,0,0.24,balanced,vehicle,975.86,standard coverage,0.15
115,21,59079,Doctor,Divorced,2,0.81,balanced,life,2811.23,standard coverage,0.65
116,19,98217,Freelancer,Divorced,0,0.11,comprehensive coverage,vehicle,1866.34,standard coverage,0.07
117,52,34970,Business,Single,1,0.97,comprehensive coverage,home,1033.45,full coverage,0.93
118,35,59530,Freelancer,Divorced,2,0.78,budget-friendly,health,1493.81,standard coverage,0.41
119,19,30019,Doctor,Divorced,3,0.69,comprehensive coverage,vehicle,1861.27,full coverage,0.52
120,44,149016,Teacher,Married,0,0.99,comprehensive coverage,home,2479.38,full coverage,0.66
121,57,112712,Lawyer,Single,1,0.69,comprehensive coverage,vehicle,1540.92,full coverage,0.47
122,24,53606,Lawyer,Married,3,0.1,balanced,vehicle,1631.43,standard coverage,0.06
123,58,147977,Doctor,Divorced,3,0.32,comprehensive coverage,life,1342.29,standard coverage,0.22
124,48,65242,Business,Single,2,0.59,comprehensive coverage,vehicle,1268.0,standard coverage,0.51
125,58,113892,Business,Married,0,0.58,balanced,health,1523.61,standard coverage,0.49
126,51,149508,Freelancer,Married,3,0.01,comprehensive coverage,vehicle,509.91,standard coverage,0.01
127,24,97249,Freelancer,Single,0,0.26,comprehensive coverage,life,579.83,standard coverage,0.14
128,62,75110,Doctor,Single,1,0.74,budget-friendly,health,2298.62,standard coverage,0.7
129,46,47292,Engineer,Divorced,2,0.66,comprehensive coverage,vehicle,1558.6,full coverage,0.48
130,25,47584,Engineer,Married,0,0.9,balanced,home,3600.85,standard coverage,0.64
131,50,99088,Engineer,Married,2,0.96,comprehensive coverage,home,1589.09,full coverage,0.69
132,20,53675,Business,Married,1,0.87,budget-friendly,life,2537.14,standard coverage,0.74
133,57,62393,Doctor,Single,3,0.55,comprehensive coverage,health,2263.33,standard coverage,0.4
134,49,82059,Doctor,Divorced,0,0.54,balanced,vehicle,2493.53,standard coverage,0.53
135,36,45328,Business,Divorced,3,0.37,balanced,life,1176.0,standard coverage,0.31
136,21,40506,Doctor,Married,2,0.9,comprehensive coverage,health,2039.17,full coverage,0.72
137,27,90793,Teacher,Married,0,0.83,balanced,life,2943.14,standard coverage,0.48
138,35,65446,Engineer,Divorced,3,0.78,balanced,health,3139.72,standard coverage,0.48
139,36,67069,Doctor,Single,3,0.78,comprehensive coverage,health,1268.62,full coverage,0.66
140,29,147331,Business,Divorced,2,0.85,comprehensive coverage,health,1176.32,full coverage,0.59
141,28,87187,Doctor,Single,3,0.92,budget-friendly,health,1559.34,standard coverage,0.81
142,49,44056,Freelancer,Single,0,0.82,balanced,health,2298.2,standard coverage,0.59
143,23,116035,Freelancer,Single,1,0.82,budget-friendly,health,3091.27,standard coverage,0.77
144,55,114039,Business,Married,3,0.66,balanced,vehicle,2256.93,standard coverage,0.53
145,45,128126,Doctor,Divorced,2,0.46,balanced,vehicle,823.48,standard coverage,0.42
146,43,61712,Lawyer,Single,2,0.55,comprehensive coverage,health,454.44,standard coverage,0.52
147,25,70530,Teacher,Divorced,0,0.54,balanced,vehicle,1849.67,standard coverage,0.36
148,27,44127,Lawyer,Single,1,0.82,comprehensive coverage,health,2862.26,full coverage,0.57
149,39,139643,Doctor,Married,1,0.27,balanced,vehicle,1409.17,standard coverage,0.23
150,51,141504,Freelancer,Divorced,2,0.36,comprehensive coverage,vehicle,1169.24,standard coverage,0.2
151,62,98896,Freelancer,Single,1,0.56,balanced,health,867.48,standard coverage,0.32
152,68,125507,Freelancer,Single,1,0.98,budget-friendly,home,2443.65,standard coverage,0.89
153,39,145117,Business,Single,0,0.49,balanced,life,1938.24,standard coverage,0.25
154,39,101966,Doctor,Single,1,0.13,budget-friendly,vehicle,1923.3,basic coverage,0.07
155,23,124821,Business,Single,3,0.67,budget-friendly,vehicle,2556.29,standard coverage,0.53
156,48,73954,Freelancer,Married,1,0.62,comprehensive coverage,vehicle,1826.91,full coverage,0.61
157,53,79399,Engineer,Divorced,0,0.85,comprehensive coverage,life,3065.8,full coverage,0.82
158,28,149570,Engineer,Married,2,0.85,comprehensive coverage,life,747.49,full coverage,0.61
159,35,71277,Doctor,Married,3,0.26,balanced,life,793.79,standard coverage,0.23
160,51,35035,Engineer,Divorced,0,0.05,balanced,life,1633.73,standard coverage,0.04
161,20,47100,Doctor,Married,3,0.79,budget-friendly,vehicle,1716.42,standard coverage,0.71
162,66,69589,Freelancer,Single,2,0.65,balanced,health,2034.19,standard coverage,0.4
163,58,35936,Engineer,Divorced,0,0.14,balanced,vehicle,1999.05,standard coverage,0.09
164,68,140912,Freelancer,Divorced,2,0.99,balanced,life,3723.67,standard coverage,0.88
165,67,49722,Teacher,Married,3,0.93,budget-friendly,life,3611.6,standard coverage,0.59
166,55,63050,Lawyer,Divorced,2,0.72,comprehensive coverage,vehicle,1443.46,full coverage,0.63
167,53,108308,Engineer,Divorced,2,0.05,budget-friendly,life,1379.55,basic coverage,0.04
168,34,59241,Teacher,Married,0,0.21,balanced,vehicle,1595.92,standard coverage,0.19
169,47,141846,Lawyer,Divorced,3,0.32,budget-friendly,life,943.63,basic coverage,0.23
170,47,116975,Business,Single,2,0.06,budget-friendly,life,1085.27,basic coverage,0.04
171,68,39408,Lawyer,Married,3,0.83,comprehensive coverage,health,1739.53,full coverage,0.45
172,60,32574,Lawyer,Single,0,0.08,comprehensive coverage,life,1543.34,standard coverage,0.05
173,67,140417,Teacher,Married,2,0.21,comprehensive coverage,life,1544.23,standard coverage,0.16
174,48,111898,Doctor,Divorced,1,0.32,balanced,life,2421.54,standard coverage,0.2
175,49,74376,Freelancer,Single,2,0.33,budget-friendly,vehicle,863.99,basic coverage,0.31
176,65,115248,Teacher,Single,2,0.27,balanced,life,1626.33,standard coverage,0.23
177,36,86850,Lawyer,Married,0,0.98,comprehensive coverage,health,2891.4,full coverage,0.85
178,26,51687,Lawyer,Married,2,0.96,balanced,health,601.54,standard coverage,0.62
179,66,91119,Teacher,Single,0,0.62,budget-friendly,health,2179.25,standard coverage,0.46
180,33,64593,Engineer,Single,2,0.13,balanced,vehicle,1434.32,standard coverage,0.11
181,55,33647,Lawyer,Single,0,0.71,budget-friendly,vehicle,1324.57,standard coverage,0.51
182,36,119865,Freelancer,Divorced,1,0.98,balanced,life,3906.16,standard coverage,0.88
183,47,141435,Lawyer,Single,3,1.0,balanced,home,1866.81,standard coverage,0.8
184,53,69099,Freelancer,Divorced,0,0.62,comprehensive coverage,health,832.17,full coverage,0.5
185,28,68566,Business,Married,1,0.19,balanced,life,1424.58,standard coverage,0.1
186,69,68636,Doctor,Married,3,0.83,budget-friendly,life,1549.62,standard coverage,0.74
187,32,129393,Freelancer,Single,1,0.62,balanced,health,1001.09,standard coverage,0.35
188,41,63055,Teacher,Single,0,0.45,budget-friendly,life,1166.75,basic coverage,0.27
189,58,39266,Lawyer,Single,1,0.15,budget-friendly,vehicle,1749.71,basic coverage,0.08
190,38,45129,Engineer,Single,3,0.24,balanced,vehicle,916.33,standard coverage,0.22
191,60,52072,Engineer,Married,2,0.58,budget-friendly,vehicle,1954.69,basic coverage,0.55
192,27,146819,Business,Divorced,3,0.26,balanced,life,252.98,standard coverage,0.26
193,59,68075,Engineer,Married,1,0.48,balanced,vehicle,600.05,standard coverage,0.28
194,68,64998,Teacher,Single,2,0.72,budget-friendly,health,2652.08,standard coverage,0.67
195,42,56373,Engineer,Married,2,0.99,balanced,health,1134.3,standard coverage,0.78
196,49,91942,Business,Married,2,0.04,comprehensive coverage,vehicle,1693.27,standard coverage,0.04
197,50,57142,Freelancer,Single,3,0.8,comprehensive coverage,health,1252.69,full coverage,0.52
198,66,91377,Business,Single,1,0.13,budget-friendly,life,650.18,basic coverage,0.08
199,68,130688,Engineer,Divorced,1,0.94,comprehensive coverage,life,2788.97,full coverage,0.85
200,67,139721,Freelancer,Single,0,0.77,budget-friendly,health,667.89,standard coverage,0.48
201,41,83365,Lawyer,Married,3,0.4,comprehensive coverage,vehicle,1193.91,standard coverage,0.21
202,38,50830,Engineer,Divorced,0,0.51,budget-friendly,vehicle,506.93,basic coverage,0.37
203,43,108454,Business,Divorced,2,0.68,balanced,health,946.18,standard coverage,0.55
204,34,90769,Lawyer,Single,0,0.56,comprehensive coverage,vehicle,751.62,standard coverage,0.48
205,36,79361,Business,Single,1,0.98,balanced,home,3276.17,standard coverage,0.56
206,20,51736,Freelancer,Divorced,2,1.0,budget-friendly,home,2483.22,standard coverage,0.76
207,30,34219,Lawyer,Single,2,0.06,comprehensive coverage,life,1777.44,standard coverage,0.04
208,19,69914,Engineer,Single,1,0.73,balanced,vehicle,3439.49,standard coverage,0.53
209,58,46973,Freelancer,Single,2,0.75,budget-friendly,vehicle,2097.81,standard coverage,0.41
210,62,71092,Doctor,Divorced,0,0.79,comprehensive coverage,health,3451.81,full coverage,0.69
211,49,42502,Teacher,Single,1,0.92,balanced,life,718.43,standard coverage,0.75
212,50,66607,Lawyer,Single,3,0.59,balanced,vehicle,650.57,standard coverage,0.45
213,49,67888,Freelancer,Single,0,0.25,budget-friendly,life,1373.29,basic coverage,0.15
214,59,38531,Business,Divorced,2,0.67,budget-friendly,vehicle,714.04,standard coverage,0.39
215,42,135857,Business,Married,3,0.32,balanced,vehicle,2436.85,standard coverage,0.19
216,20,82458,Doctor,Divorced,0,0.34,balanced,vehicle,1484.54,standard coverage,0.3
217,59,57260,Business,Divorced,0,0.61,balanced,vehicle,2865.68,standard coverage,0.41
218,68,97172,Business,Single,1,0.29,budget-friendly,vehicle,767.39,basic coverage,0.2
219,24,127856,Business,Divorced,2,0.69,balanced,vehicle,2327.95,standard coverage,0.47
220,66,56377,Lawyer,Single,1,0.85,balanced,health,1269.69,standard coverage,0.48
221,42,66086,Lawyer,Single,0,0.99,budget-friendly,life,2402.3,standard coverage,0.92
222,40,140769,Freelancer,Married,2,0.17,balanced,vehicle,2061.93,standard coverage,0.13
223,45,94818,Teacher,Single,2,0.46,budget-friendly,vehicle,1043.07,basic coverage,0.46
224,29,100468,Doctor,Divorced,2,0.74,budget-friendly,health,1822.06,standard coverage,0.56
225,25,125528,Engineer,Single,2,0.58,budget-friendly,vehicle,1776.6,basic coverage,0.49
226,67,146153,Freelancer,Divorced,0,0.06,balanced,life,1390.04,standard coverage,0.05
227,52,126236,Doctor,Divorced,3,0.35,balanced,life,2211.91,standard coverage,0.32
228,42,76156,Teacher,Divorced,3,0.79,balanced,vehicle,749.83,standard coverage,0.57
229,47,100423,Lawyer,Single,1,0.49,balanced,vehicle,1734.71,standard coverage,0.34
230,49,107423,Lawyer,Married,0,0.69,comprehensive coverage,health,770.01,full coverage,0.4
231,53,87818,Doctor,Married,0,0.64,comprehensive coverage,health,861.48,full coverage,0.57
232,49,32359,Engineer,Divorced,2,0.94,comprehensive coverage,home,2104.47,full coverage,0.76
233,42,82601,Lawyer,Single,1,0.86,balanced,home,650.36,standard coverage,0.5
234,43,97811,Freelancer,Single,2,0.34,comprehensive coverage,life,478.69,standard coverage,0.25
235,25,61466,Freelancer,Divorced,0,0.5,comprehensive coverage,vehicle,783.87,standard coverage,0.39
236,22,40019,Lawyer,Married,0,0.48,comprehensive coverage,life,1554.24,standard coverage,0.45
237,60,127025,Doctor,Divorced,1,0.28,comprehensive coverage,life,678.11,standard coverage,0.15
238,19,126735,Doctor,Single,1,0.62,balanced,health,1428.07,standard coverage,0.36
239,36,93031,Engineer,Single,3,0.26,balanced,vehicle,2221.96,standard coverage,0.2
240,20,146688,Engineer,Single,0,0.16,comprehensive coverage,life,2168.59,standard coverage,0.08
241,29,88123,Doctor,Divorced,2,0.11,balanced,vehicle,1327.21,standard coverage,0.08
242,56,138939,Engineer,Single,1,0.29,budget-friendly,life,2551.43,basic coverage,0.15
243,49,138615,Teacher,Married,2,0.47,balanced,life,2160.7,standard coverage,0.3
244,23,143045,Freelancer,Single,0,0.12,comprehensive coverage,vehicle,496.54,standard coverage,0.07
245,25,33529,Doctor,Divorced,0,0.68,balanced,vehicle,2572.02,standard coverage,0.44
246,22,111619,Business,Divorced,3,0.87,comprehensive coverage,home,2611.63,full coverage,0.77
247,30,39277,Engineer,Divorced,1,0.43,balanced,life,2513.44,standard coverage,0.29
248,48,53032,Doctor,Married,1,0.87,balanced,life,2060.77,standard coverage,0.82
249,30,64239,Business,Married,3,0.15,budget-friendly,life,1447.74,basic coverage,0.1
250,18,109899,Teacher,Divorced,2,0.08,comprehensive coverage,vehicle,983.49,standard coverage,0.05
251,63,121122,Teacher,Single,3,0.81,comprehensive coverage,life,418.25,full coverage,0.43
252,21,134280,Lawyer,Divorced,3,0.97,balanced,health,2529.64,standard coverage,0.97
253,37,45856,Freelancer,Married,3,0.34,budget-friendly,life,2558.1,basic coverage,0.19
254,46,84939,Freelancer,Divorced,0,0.66,comprehensive coverage,health,827.28,full coverage,0.45
255,49,139059,Business,Married,2,0.65,comprehensive coverage,health,841.03,full coverage,0.6
256,50,100489,Business,Divorced,1,0.69,balanced,health,1588.11,standard coverage,0.42
257,31,37762,Freelancer,Divorced,0,0.57,comprehensive coverage,health,2697.94,standard coverage,0.3
258,36,135569,Business,Married,1,0.26,budget-friendly,life,1583.49,basic coverage,0.2
259,68,126748,Teacher,Single,3,0.08,balanced,life,1207.84,standard coverage,0.04
260,20,89855,Lawyer,Married,3,0.01,balanced,vehicle,1774.33,standard coverage,0.01
261,69,141340,Teacher,Single,0,0.18,balanced,vehicle,662.0,standard coverage,0.14
262,28,93747,Freelancer,Divorced,2,0.12,comprehensive coverage,life,2147.32,standard coverage,0.07
263,26,60652,Doctor,Married,3,0.04,comprehensive coverage,life,2010.27,standard coverage,0.03
264,68,127363,Business,Divorced,0,0.09,comprehensive coverage,vehicle,1815.05,standard coverage,0.05
265,45,82072,Business,Divorced,2,0.05,balanced,vehicle,766.99,standard coverage,0.04
266,19,49353,Lawyer,Married,1,0.55,budget-friendly,health,1357.52,basic coverage,0.49
267,30,79259,Lawyer,Divorced,0,0.06,budget-friendly,life,981.74,basic coverage,0.03
268,52,129685,Business,Divorced,1,1.0,budget-friendly,health,1014.4,standard coverage,0.61
269,48,33421,Teacher,Single,2,0.5,balanced,vehicle,423.39,standard coverage,0.41
270,60,118709,Freelancer,Single,0,0.9,comprehensive coverage,health,602.55,full coverage,0.47
271,31,139285,Freelancer,Divorced,3,0.49,comprehensive coverage,life,1949.08,standard coverage,0.44
272,32,143484,Lawyer,Single,1,0.14,comprehensive coverage,life,2215.14,standard coverage,0.09
273,22,143079,Business,Single,2,0.84,budget-friendly,home,647.49,standard coverage,0.51
274,56,41235,Doctor,Divorced,3,0.24,comprehensive coverage,vehicle,1675.29,standard coverage,0.22
275,51,56266,Lawyer,Married,0,0.04,balanced,vehicle,433.17,standard coverage,0.03
276,55,142930,Engineer,Married,3,0.19,budget-friendly,life,1473.66,basic coverage,0.18
277,60,34839,Doctor,Divorced,0,0.6,balanced,health,1595.89,standard coverage,0.42
278,19,32528,Freelancer,Married,0,0.43,balanced,life,375.65,standard coverage,0.43
279,62,119076,Business,Divorced,1,0.16,budget-friendly,vehicle,977.5,basic coverage,0.16
280,50,61953,Lawyer,Single,0,0.53,comprehensive coverage,vehicle,2469.93,standard coverage,0.42
281,44,53225,Lawyer,Married,2,0.95,budget-friendly,home,1077.87,standard coverage,0.82
282,20,68739,Teacher,Single,2,0.73,budget-friendly,health,1959.09,standard coverage,0.5
283,69,119790,Freelancer,Single,1,0.07,budget-friendly,vehicle,706.49,basic coverage,0.04
284,19,43426,Business,Divorced,0,0.32,budget-friendly,vehicle,2462.74,basic coverage,0.21
285,68,74448,Freelancer,Married,2,0.69,budget-friendly,vehicle,3158.67,standard coverage,0.43
286,45,110734,Engineer,Divorced,3,0.14,budget-friendly,life,1718.9,basic coverage,0.08
287,47,78228,Freelancer,Divorced,2,0.54,balanced,vehicle,2222.28,standard coverage,0.4
288,58,92840,Business,Married,0,0.55,comprehensive coverage,vehicle,1849.91,standard coverage,0.53
289,67,74882,Freelancer,Single,3,0.09,comprehensive coverage,life,1757.98,standard coverage,0.08
290,40,94864,Lawyer,Divorced,2,0.61,balanced,vehicle,3172.07,standard coverage,0.39
291,50,57216,Lawyer,Single,3,0.9,budget-friendly,life,3669.02,standard coverage,0.9
292,69,114000,Engineer,Single,0,0.65,comprehensive coverage,vehicle,2731.94,full coverage,0.62
293,31,84883,Doctor,Divorced,2,0.92,comprehensive coverage,home,854.58,full coverage,0.5
294,31,92788,Business,Divorced,1,0.61,balanced,health,2818.37,standard coverage,0.38
295,67,129879,Business,Married,3,0.75,budget-friendly,vehicle,2215.01,standard coverage,0.5
296,30,55849,Business,Single,1,0.89,comprehensive coverage,life,2192.46,full coverage,0.54
297,21,87902,Teacher,Single,1,0.46,comprehensive coverage,life,1724.15,standard coverage,0.26
298,67,83118,Freelancer,Divorced,1,0.16,comprehensive coverage,vehicle,762.89,standard coverage,0.11
299,36,90076,Engineer,Single,3,0.12,comprehensive coverage,life,640.83,standard coverage,0.1
300,41,106058,Doctor,Married,2,0.95,budget-friendly,home,1964.13,standard coverage,0.84
301,53,114102,Business,Single,3,0.55,budget-friendly,health,2076.22,basic coverage,0.52
